Vitglobal.com - eRuido DBAMonitor DataLogging File
System started at 	2022-09-29T14:27:26
Datalogging started at 	2022-09-30T14:39:11
LAEq1s,LCEq1s,LASlow,LASMax,Temperature,Humidity,Windspeed,Winddir,DateTime
25.6282,48.1328,25.5244,25.5244,,,-1,-1,2022-09-30T14:39:11
26.3055,49.2414,25.9797,25.9889,,,-1,-1,2022-09-30T14:39:12
25.7414,46.676,25.867,25.9685,,,-1,-1,2022-09-30T14:39:13
25.6881,48.3136,25.748,25.9192,,,-1,-1,2022-09-30T14:39:14
25.7874,46.5938,25.7716,25.8246,,,-1,-1,2022-09-30T14:39:15
25.6844,43.2664,25.7479,25.7755,,,-1,-1,2022-09-30T14:39:16
26.553,44.2274,26.3142,26.3142,,,-1,-1,2022-09-30T14:39:17
27.9672,45.8741,27.5136,27.5136,,,-1,-1,2022-09-30T14:39:18
29.5501,47.2638,28.8531,28.8531,,,-1,-1,2022-09-30T14:39:19
29.005,47.0909,28.802,29.284,,,-1,-1,2022-09-30T14:39:20
27.9976,45.6553,28.2744,28.8111,,,-1,-1,2022-09-30T14:39:21
28.8832,47.3307,28.6848,28.7272,,,-1,-1,2022-09-30T14:39:22
27.931,48.0355,28.1935,28.6891,,,-1,-1,2022-09-30T14:39:23
27.8004,42.7644,28.1127,28.1647,,,-1,-1,2022-09-30T14:39:24
31.0428,43.2369,30.2414,30.2414,,,-1,-1,2022-09-30T14:39:25
30.4743,42.3244,30.2062,30.6893,,,-1,-1,2022-09-30T14:39:26
28.1069,40.5952,29.0237,30.1805,,,-1,-1,2022-09-30T14:39:27
27.0018,40.8602,27.9104,28.9876,,,-1,-1,2022-09-30T14:39:28
27.6049,41.7597,27.7221,27.8998,,,-1,-1,2022-09-30T14:39:29
27.5675,41.8735,27.6042,27.7595,,,-1,-1,2022-09-30T14:39:30
26.4721,39.7226,26.9365,27.5725,,,-1,-1,2022-09-30T14:39:31
26.0555,40.318,26.3674,26.9336,,,-1,-1,2022-09-30T14:39:32
25.8454,40.0044,26.0744,26.3828,,,-1,-1,2022-09-30T14:39:33
26.4819,40.8521,26.3145,26.3337,,,-1,-1,2022-09-30T14:39:34
26.4643,41.6968,26.4212,26.4773,,,-1,-1,2022-09-30T14:39:35
26.094,40.9515,26.1991,26.4186,,,-1,-1,2022-09-30T14:39:36
26.0677,42.8257,26.1076,26.2294,,,-1,-1,2022-09-30T14:39:37
25.7418,45.0755,25.9388,26.116,,,-1,-1,2022-09-30T14:39:38
25.8834,44.4541,25.9348,25.9739,,,-1,-1,2022-09-30T14:39:39
25.4601,41.2041,25.6097,26.0051,,,-1,-1,2022-09-30T14:39:40
25.1607,39.7954,25.3086,25.6216,,,-1,-1,2022-09-30T14:39:41
24.7553,40.5913,24.988,25.3256,,,-1,-1,2022-09-30T14:39:42
25.3305,43.7254,25.2102,25.2462,,,-1,-1,2022-09-30T14:39:43
25.6014,40.5437,25.4407,25.457,,,-1,-1,2022-09-30T14:39:44
24.9617,39.1868,25.1025,25.4419,,,-1,-1,2022-09-30T14:39:45
24.9611,39.6975,25.0608,25.1029,,,-1,-1,2022-09-30T14:39:46
25.3354,39.8314,25.2485,25.2485,,,-1,-1,2022-09-30T14:39:47
25.3265,39.4753,25.3119,25.3119,,,-1,-1,2022-09-30T14:39:48
25.7819,40.3625,25.645,25.6499,,,-1,-1,2022-09-30T14:39:49
25.1894,42.9923,25.3529,25.6313,,,-1,-1,2022-09-30T14:39:50
24.9514,39.0864,25.0878,25.3567,,,-1,-1,2022-09-30T14:39:51
25.4713,42.6455,25.3565,25.3565,,,-1,-1,2022-09-30T14:39:52
26.1798,45.2814,25.8612,25.9086,,,-1,-1,2022-09-30T14:39:53
24.9777,43.1499,25.3318,25.8401,,,-1,-1,2022-09-30T14:39:54
24.7352,42.5963,24.9491,25.3492,,,-1,-1,2022-09-30T14:39:55
24.1002,41.9977,24.4065,24.9494,,,-1,-1,2022-09-30T14:39:56
24.645,42.422,24.6317,24.6317,,,-1,-1,2022-09-30T14:39:57
25.2846,44.5761,25.0766,25.0766,,,-1,-1,2022-09-30T14:39:58
26.1499,45.5274,25.7643,25.7859,,,-1,-1,2022-09-30T14:39:59
25.6066,45.1003,25.7655,25.7655,,,-1,-1,2022-09-30T14:40:00
26.0432,48.0794,25.8947,26.0082,,,-1,-1,2022-09-30T14:40:01
25.3618,46.0182,25.4753,25.9517,,,-1,-1,2022-09-30T14:40:02
24.9819,44.1997,25.1553,25.5156,,,-1,-1,2022-09-30T14:40:03
24.8623,44.191,24.9775,25.1416,,,-1,-1,2022-09-30T14:40:04
24.6658,42.7136,24.7535,24.9886,,,-1,-1,2022-09-30T14:40:05
24.3029,40.4878,24.5064,24.7387,,,-1,-1,2022-09-30T14:40:06
25.2402,46.0338,24.9776,24.9776,,,-1,-1,2022-09-30T14:40:07
25.6542,46.6384,25.2803,25.6273,,,-1,-1,2022-09-30T14:40:08
24.0407,44.9594,24.5307,25.2589,,,-1,-1,2022-09-30T14:40:09
